,Região,UF,Cidade,Sexo,Faixa Etária,Data Finalização,Tempo Resposta,Nome Fantasia,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,Respondida,Situação,Avaliação Reclamação,Nota do Consumidor,Total,ï»¿RegiÃ£o,Faixa EtÃ¡ria,Data FinalizaÃ§Ã£o,Ãrea,SituaÃ§Ã£o,AvaliaÃ§Ã£o ReclamaÃ§Ã£o
4474,SE,SP,São Paulo,F,entre 41 a 50 anos,12/11/2019,2.0,CPFL Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4475,SE,SP,Sorocaba,M,entre 61 a 70 anos,07/11/2019,6.0,CPFL Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Domicílio,N,S,Finalizada avaliada,Resolvida,5.0,1,,,,,,
4476,SE,SP,São Paulo,F,entre 31 a 40 anos,25/11/2019,3.0,Enel Distribuição São Paulo (Eletropaulo),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4477,CO,MT,Brasnorte,F,entre 41 a 50 anos,21/11/2019,0.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4478,CO,MT,São José do Rio Claro,M,entre 41 a 50 anos,13/11/2019,0.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4479,NE,CE,Nova Russas,F,entre 41 a 50 anos,21/11/2019,10.0,Enel Distribuição Ceará (Coelce),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4480,CO,GO,Palmeiras de Goiás,M,entre 21 a 30 anos,04/11/2019,10.0,Enel Distribuição Goiás (CELG),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Internet,N,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4481,SE,SP,Sorocaba,M,entre 31 a 40 anos,30/11/2019,2.0,CPFL Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Telefone,S,S,Finalizada avaliada,Não Resolvida,3.0,1,,,,,,
4482,S ,PR,Curitiba,F,entre 31 a 40 anos,19/11/2019,1.0,Copel - Companhia Paranaense de Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,,,,,,
4483,NE,BA,Itajuípe,M,entre 21 a 30 anos,18/11/2019,5.0,Coelba,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Domicílio,S,S,Finalizada avaliada,Não Resolvida,3.0,1,,,,,,
